RPM,Delta_ms
0,0.3150
2500,1.2420
3000,1.2330
3500,2.9900
4500,2.3820
5000,1.1580
5500,3.3430
6500,2.6390
7000,3.8820
7500,1.1360
8000,2.0920
8500,2.8450
9000,3.8210
10000,1.0330
10500,1.7190
11000,2.2760
11500,2.7020
12000,3.3470
12500,3.5020
13000,3.8070
14000,4.4950
14500,0.5720
15000,1.0460
15500,1.2720
16000,1.6060
16500,2.1790
17000,2.1680
17500,2.5680
18000,2.7600
18500,3.0680
19500,3.3600
20000,3.3170
20500,3.5700
21000,3.4990
21500,3.8280
22000,3.9400
22500,4.0940
23000,4.1230
23500,4.2480
24000,4.3030
24500,4.5970
25000,4.5280
26000,4.6920
26500,1.4520
27000,1.6940
27500,0.4720
28000,0.5990
28500,0.8010
29000,0.7810
29500,0.8730
30000,0.9900
30500,0.8740
31000,1.0460
31500,1.1200
32000,1.2030
32500,1.2600
33000,1.7440
33500,1.3360
34000,1.4020
34500,1.4750
35500,1.6130
36000,1.6580
36500,1.7140
37000,1.6550
37500,1.8250
38000,1.8440
38500,2.2670
39000,1.9010
39500,1.9500
40000,1.9560
40500,1.9560
41000,2.0030
41500,2.1790
42000,2.1600
42500,2.1020
43000,2.1250
43500,2.1560
44000,2.2780
44500,2.1660
45000,2.1180
46000,2.3360
46500,2.2690
47000,2.2390
47500,2.3820
48000,2.7400
48500,2.4960
49000,2.6170
49500,2.7340
50000,2.5300
50500,2.5560
51000,2.5210
51500,2.6800
52000,2.6340
52500,2.6340
53000,2.7340
53500,2.8540
54000,2.6570
54500,2.7160
55000,2.6770
55500,2.7720
56500,2.7320
57000,2.7610
57500,2.8120
58000,2.8160
58500,2.9060
59000,2.8370
59500,3.0350
60000,2.9650
60500,2.9590
61000,2.9630
61500,3.0640
62000,3.0410
62500,3.0280
63000,3.0090
63500,3.1740
64000,3.0360
64500,3.2970
65000,3.1150
65500,3.0810
66000,3.1330
67000,3.2660
67500,3.1370
68000,3.2870
68500,3.0630
69000,3.1250
69500,3.2780
70000,3.3250
70500,3.2960
71000,3.4190
71500,3.2710
72000,3.2150
72500,3.3150
73000,3.2850
73500,3.1740
74000,3.4170
74500,3.2240
75000,3.4080
75500,5.2860
76000,3.3470
76500,3.3730
77500,3.4430
78000,3.4550
78500,3.4180
79000,3.4320
79500,3.3420
80000,3.4380
80500,3.5450
81000,3.4040
81500,3.4620
82000,3.4970
82500,3.4280
83000,3.5700
83500,3.6000
84000,3.4100
84500,3.4890
85000,3.4310
85500,3.4660
86000,3.5990
86500,3.5960
87000,3.5980
88000,3.4920
88500,3.6390
89000,3.5300
89500,3.5130
90000,3.5500
90500,3.6430
91000,3.6100
91500,3.8280
92000,3.6570
92500,3.8100
93000,3.7770
93500,3.7250
94000,3.6510
94500,3.7330
95000,3.6900
95500,3.6310
96000,3.7050
96500,3.7600
97000,3.8160
97500,3.5710
98500,3.8240
99000,3.7160
99500,3.7640
100000,3.7640
100500,3.6950
101000,3.7050
101500,4.2670
102000,3.7360
102500,3.7680
103000,3.8600
103500,3.8120
104000,3.7740
104500,3.8000
105000,3.6180
105500,3.8860
106000,3.8700
106500,3.7300
107000,3.8010
107500,4.0740
108000,3.6290
109000,3.7090
109500,3.6540
110000,3.6260
110500,3.6980
111000,3.7160
111500,3.6570
112000,3.6030
112500,3.6220
113000,3.5370
113500,3.6210
114000,3.6700
114500,3.6290
115000,3.6850
115500,3.5760
116000,3.6080
116500,3.6160
117000,3.6970
117500,3.6440
118000,3.7050
118500,3.8070
119000,3.7420
119500,3.7120
120500,3.8440
121000,3.9990
121500,4.1160
122000,3.8290
122500,4.0120
123000,3.8650
123500,3.9330
124000,4.0010
124500,3.7980
125000,3.9860
125500,4.0670
126000,3.9090
126500,3.9200
127000,4.1120
127500,4.0060
128000,4.0630
128500,4.0160
129000,4.2650
129500,4.0880
130000,3.9220
131000,3.9470
131500,3.8260
132000,4.1120
132500,4.1000
133000,4.0910
133500,4.1820
134000,4.0800
134500,4.0600
135000,4.0860
135500,4.0720
136000,4.0410
136500,3.9070
137000,4.1120
137500,4.0300
138000,4.1980
138500,4.0100
139000,4.0440
139500,4.0400
140000,3.9360
140500,4.1820
141500,4.0640
142000,4.0500
142500,4.0860
143000,4.0690
143500,4.1580
144000,4.0330
144500,4.0910
145000,4.2430
145500,4.3210
146000,4.0140
146500,4.1040
147000,4.1480
147500,4.1900
148000,4.1510
148500,4.2180
149000,4.1190
149500,2.8520
150000,4.1480
150500,4.2090
151000,4.2090
151500,4.1630
152500,4.1470
153000,4.2760
153500,4.1320
154000,4.0990
154500,4.5110
155000,4.1200
155500,4.1910
156000,4.2030
156500,4.1730
157000,4.1960
157500,4.0740
158000,4.1480
158500,4.1840
159000,4.1360
159500,4.1590
160000,5.1060
160500,4.2150
161000,4.1860
161500,4.3610
162500,4.1970
163000,4.1540
163500,4.1830
164000,4.1200
164500,3.6380
165000,4.1530
165500,4.1530
166000,4.2250
166500,4.1600
167000,4.1370
167500,4.2040
168000,4.2110
168500,4.1060
169000,4.2510
169500,4.2960
170000,4.2650
170500,4.0790
171000,4.1810
171500,4.0640
172000,4.1940
172500,4.2360
173500,4.1760
174000,4.2410
174500,4.2310
175000,4.2740
175500,4.1500
176000,4.2210
176500,4.3160
177000,3.1160
177500,2.9740
178000,4.1740
178500,4.3760
179000,4.2120
179500,4.1380
180000,4.2950
180500,4.1550
181000,4.2370
181500,4.2040
182000,4.2410
182500,4.2410
183000,4.2510
184000,4.1700
184500,4.1460
185000,4.1650
185500,4.1340
186000,2.9640
186500,3.0260
187000,2.9810
187500,4.2900
188000,3.1670
188500,4.1980
189000,1.7800
189500,3.2470
190000,4.3450
190500,4.2450
191000,4.1430
191500,4.1950
192000,4.4280
192500,4.2130
193000,4.9150
193500,4.2120
194000,4.5350
195000,3.2550
195500,4.2660
196000,4.1780
196500,4.5160
197000,4.5050
197500,4.2350
198000,4.1750
198500,4.1950
199000,4.2450
199500,4.5510
200000,3.2560
200500,4.2720
201000,4.5800
201500,4.4140
202000,3.3020
202500,4.4010
203000,4.4070
203500,4.2480
204000,4.3630
204500,4.3250
205000,4.4510
206000,4.3070
206500,3.0310
207000,4.2980
207500,4.5680
208000,4.3410
208500,4.3530
209000,4.5460
209500,4.3310
210000,4.2310
210500,3.0610
211000,4.3830
211500,4.3130
212000,4.6320
212500,1.8700
213000,3.1010
213500,4.3770
214000,3.0650
214500,4.3010
215000,4.3680
215500,4.4810
216000,4.3880
217000,5.0130
217500,4.2460
218000,4.3880
218500,4.5170
219000,3.5000
219500,4.5370
220000,4.4610
220500,3.1010
221000,4.4220
221500,3.0750
222000,4.5690
222500,3.3210
223000,3.1450
223500,4.4870
224000,3.0960
224500,4.5220
225000,1.9100
225500,4.6840
226000,4.5850
226500,4.3380
227000,4.5180
228000,4.3480
228500,4.3220
229000,4.2910
229500,3.0750
230000,4.4880
230500,3.0860
231000,4.3220
231500,4.6150
232000,4.3660
232500,3.1660
233000,4.5900
233500,4.6090
234000,4.3790
234500,4.3400
235000,3.1430
235500,4.3780
236000,4.4910
236500,3.1550
237000,4.3180
237500,4.3430
238500,3.1430
239000,4.3680
239500,4.5010
240000,4.4170
240500,4.3760
241000,4.6520
241500,3.2460
242000,4.7240
242500,4.7230
243000,4.7880
243500,4.4210
244000,4.6270
244500,3.1380
245000,4.3340
245500,4.6010
246000,4.3350
246500,4.4000
247000,4.3110
247500,3.1320
248000,4.3490
249000,4.5190
249500,4.3570
250000,3.5990
250500,1.9550
251000,1.9580
251500,4.5600
252000,4.5390
252500,3.2560
253000,4.6600
253500,4.4310
254000,4.6860
254500,3.4290
255000,4.5500
255500,3.1420
256000,4.3840
256500,4.8370
